LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,24-Feb-2020 22:35:11,0                 
Time,Ampl
-9.960104e-006,-1.6025
-9.959854e-006,-1.6025
-9.959604e-006,-1.6025
-9.959354e-006,-1.6025
-9.959104e-006,-1.6025
-9.958854e-006,-1.6025
-9.958604e-006,-1.6025
-9.958354e-006,-1.6025
-9.958104e-006,-1.6025
-9.957854e-006,-1.6025
-9.957604e-006,-1.6025
-9.957354e-006,-1.6025
-9.957104e-006,-1.6025
-9.956854e-006,-1.6025
-9.956604e-006,-1.6025
-9.956354e-006,-1.6025
-9.956104e-006,-1.6025
-9.955854e-006,-1.6025
-9.955604e-006,-1.6025
-9.955354e-006,-1.6025
-9.955104e-006,-1.6025
-9.954854e-006,-1.6025
-9.954604e-006,-1.59917
-9.954354e-006,-1.6025
-9.954104e-006,-1.6025
-9.953854e-006,-1.6025
-9.953604e-006,-1.59917
-9.953354e-006,-1.6025
-9.953104e-006,-1.6025
-9.952854e-006,-1.6025
-9.952604e-006,-1.6025
-9.952354e-006,-1.6025
-9.952104e-006,-1.6025
-9.951854e-006,-1.6025
-9.951604e-006,-1.6025
-9.951354e-006,-1.6025
-9.951104e-006,-1.6025
-9.950854e-006,-1.6025
-9.950604e-006,-1.6025
-9.950354e-006,-1.6025
-9.950104e-006,-1.6025
-9.949854e-006,-1.6025
-9.949604e-006,-1.6025
-9.949354e-006,-1.6025
-9.949104e-006,-1.6025
-9.948854e-006,-1.6025
-9.948604e-006,-1.6025
-9.948354e-006,-1.6025
-9.948104e-006,-1.6025
-9.947854e-006,-1.6025
-9.947604e-006,-1.6025
-9.947354e-006,-1.6025
-9.947104e-006,-1.6025
-9.946854e-006,-1.59917
-9.946604e-006,-1.6025
-9.946354e-006,-1.6025
-9.946104e-006,-1.6025
-9.945854e-006,-1.59917
-9.945604e-006,-1.6025
-9.945354e-006,-1.6025
-9.945104e-006,-1.6025
-9.944854e-006,-1.6025
-9.944604e-006,-1.6025
-9.944354e-006,-1.6025
-9.944104e-006,-1.6025
-9.943854e-006,-1.6025
-9.943604e-006,-1.6025
-9.943354e-006,-1.60583
-9.943104e-006,-1.6025
-9.942854e-006,-1.6025
-9.942604e-006,-1.6025
-9.942354e-006,-1.60583
-9.942104e-006,-1.6025
-9.941854e-006,-1.6025
-9.941604e-006,-1.6025
-9.941354e-006,-1.60583
-9.941104e-006,-1.6025
-9.940854e-006,-1.6025
-9.940604e-006,-1.6025
-9.940354e-006,-1.60583
-9.940104e-006,-1.6025
-9.939854e-006,-1.6025
-9.939604e-006,-1.6025
-9.939354e-006,-1.60583
-9.939104e-006,-1.6025
-9.938854e-006,-1.6025
-9.938604e-006,-1.6025
-9.938354e-006,-1.6025
-9.938104e-006,-1.6025
-9.937854e-006,-1.6025
-9.937604e-006,-1.6025
-9.937354e-006,-1.6025
