LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,31-Jan-2020 15:58:33,0                 
Time,Ampl
-9.960102e-006,-1.6025
-9.959852e-006,-1.6025
-9.959602e-006,-1.60583
-9.959352e-006,-1.6025
-9.959102e-006,-1.6025
-9.958852e-006,-1.6025
-9.958602e-006,-1.60583
-9.958352e-006,-1.6025
-9.958102e-006,-1.6025
-9.957852e-006,-1.6025
-9.957602e-006,-1.60583
-9.957352e-006,-1.6025
-9.957102e-006,-1.6025
-9.956852e-006,-1.6025
-9.956602e-006,-1.60583
-9.956352e-006,-1.6025
-9.956102e-006,-1.6025
-9.955852e-006,-1.6025
-9.955602e-006,-1.6025
-9.955352e-006,-1.6025
-9.955102e-006,-1.6025
-9.954852e-006,-1.6025
-9.954602e-006,-1.60583
-9.954352e-006,-1.6025
-9.954102e-006,-1.6025
-9.953852e-006,-1.6025
-9.953602e-006,-1.60583
-9.953352e-006,-1.6025
-9.953102e-006,-1.6025
-9.952852e-006,-1.6025
-9.952602e-006,-1.60583
-9.952352e-006,-1.6025
-9.952102e-006,-1.6025
-9.951852e-006,-1.6025
-9.951602e-006,-1.60583
-9.951352e-006,-1.6025
-9.951102e-006,-1.6025
-9.950852e-006,-1.6025
-9.950602e-006,-1.60583
-9.950352e-006,-1.6025
-9.950102e-006,-1.6025
-9.949852e-006,-1.6025
-9.949602e-006,-1.60583
-9.949352e-006,-1.6025
-9.949102e-006,-1.6025
-9.948852e-006,-1.6025
-9.948602e-006,-1.6025
-9.948352e-006,-1.6025
-9.948102e-006,-1.6025
-9.947852e-006,-1.6025
-9.947602e-006,-1.6025
-9.947352e-006,-1.6025
-9.947102e-006,-1.6025
-9.946852e-006,-1.6025
-9.946602e-006,-1.60583
-9.946352e-006,-1.6025
-9.946102e-006,-1.6025
-9.945852e-006,-1.6025
-9.945602e-006,-1.60583
-9.945352e-006,-1.6025
-9.945102e-006,-1.6025
-9.944852e-006,-1.6025
-9.944602e-006,-1.60583
-9.944352e-006,-1.6025
-9.944102e-006,-1.6025
-9.943852e-006,-1.6025
-9.943602e-006,-1.60583
-9.943352e-006,-1.6025
-9.943102e-006,-1.6025
-9.942852e-006,-1.6025
-9.942602e-006,-1.60583
-9.942352e-006,-1.6025
-9.942102e-006,-1.6025
-9.941852e-006,-1.6025
-9.941602e-006,-1.60583
-9.941352e-006,-1.6025
-9.941102e-006,-1.6025
-9.940852e-006,-1.6025
-9.940602e-006,-1.60583
-9.940352e-006,-1.6025
-9.940102e-006,-1.6025
-9.939852e-006,-1.6025
-9.939602e-006,-1.60583
-9.939352e-006,-1.6025
-9.939102e-006,-1.6025
-9.938852e-006,-1.6025
-9.938602e-006,-1.60583
-9.938352e-006,-1.6025
-9.938102e-006,-1.6025
-9.937852e-006,-1.6025
-9.937602e-006,-1.60583
-9.937352e-006,-1.6025
-9.937102e-006,-1.6025
-9.936852e-006,-1.6025
-9.936602e-006,-1.60583
-9.936352e-006,-1.6025
-9.936102e-006,-1.6025
-9.935852e-006,-1.6025
-9.935602e-006,-1.60583
-9.935352e-006,-1.6025
-9.935102e-006,-1.6025
-9.934852e-006,-1.6025
-9.934602e-006,-1.60583
-9.934352e-006,-1.6025
-9.934102e-006,-1.6025
-9.933852e-006,-1.6025
-9.933602e-006,-1.6025
-9.933352e-006,-1.6025
-9.933102e-006,-1.6025
-9.932852e-006,-1.6025
-9.932602e-006,-1.6025
-9.932352e-006,-1.6025
-9.932102e-006,-1.6025
-9.931852e-006,-1.6025
-9.931602e-006,-1.6025
-9.931352e-006,-1.6025
-9.931102e-006,-1.6025
-9.930852e-006,-1.6025
-9.930602e-006,-1.6025
-9.930352e-006,-1.6025
-9.930102e-006,-1.6025
-9.929852e-006,-1.6025
-9.929602e-006,-1.6025
-9.929352e-006,-1.6025
-9.929102e-006,-1.6025
-9.928852e-006,-1.6025
-9.928602e-006,-1.60583
-9.928352e-006,-1.6025
-9.928102e-006,-1.6025
-9.927852e-006,-1.6025
-9.927602e-006,-1.60583
-9.927352e-006,-1.6025
-9.927102e-006,-1.6025
-9.926852e-006,-1.6025
-9.926602e-006,-1.60583
-9.926352e-006,-1.6025
-9.926102e-006,-1.6025
-9.925852e-006,-1.6025
-9.925602e-006,-1.60583
-9.925352e-006,-1.6025
-9.925102e-006,-1.6025
-9.924852e-006,-1.6025
-9.924602e-006,-1.60583
-9.924352e-006,-1.6025
-9.924102e-006,-1.6025
-9.923852e-006,-1.6025
-9.923602e-006,-1.60583
-9.923352e-006,-1.6025
-9.923102e-006,-1.6025
-9.922852e-006,-1.6025
-9.922602e-006,-1.60583
-9.922352e-006,-1.6025
-9.922102e-006,-1.60583
-9.921852e-006,-1.6025
-9.921602e-006,-1.60583
-9.921352e-006,-1.6025
-9.921102e-006,-1.60583
-9.920852e-006,-1.6025
-9.920602e-006,-1.60583
-9.920352e-006,-1.6025
-9.920102e-006,-1.60583
-9.919852e-006,-1.6025
-9.919602e-006,-1.60583
-9.919352e-006,-1.6025
-9.919102e-006,-1.6025
-9.918852e-006,-1.6025
-9.918602e-006,-1.60583
-9.918352e-006,-1.6025
-9.918102e-006,-1.6025
-9.917852e-006,-1.6025
-9.917602e-006,-1.60583
-9.917352e-006,-1.6025
