LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,25-Oct-2019 23:10:43,0                 
Time,Ampl
-8.340114e-006,-1.6035
-8.339864e-006,-1.6035
-8.339614e-006,-1.6035
-8.339364e-006,-1.6035
-8.339114e-006,-1.6035
-8.338864e-006,-1.6035
-8.338614e-006,-1.6035
-8.338364e-006,-1.6035
-8.338114e-006,-1.6035
-8.337864e-006,-1.6035
-8.337614e-006,-1.6035
-8.337364e-006,-1.6035
-8.337114e-006,-1.6035
-8.336864e-006,-1.6035
-8.336614e-006,-1.6035
-8.336364e-006,-1.6035
-8.336114e-006,-1.6035
-8.335864e-006,-1.6035
-8.335614e-006,-1.6035
-8.335364e-006,-1.6035
-8.335114e-006,-1.6035
-8.334864e-006,-1.6035
-8.334614e-006,-1.6035
-8.334364e-006,-1.6035
-8.334114e-006,-1.6035
-8.333864e-006,-1.6035
-8.333614e-006,-1.60017
-8.333364e-006,-1.6035
-8.333114e-006,-1.6035
-8.332864e-006,-1.6035
-8.332614e-006,-1.60017
-8.332364e-006,-1.60017
-8.332114e-006,-1.6035
-8.331864e-006,-1.6035
-8.331614e-006,-1.60017
-8.331364e-006,-1.60017
-8.331114e-006,-1.6035
-8.330864e-006,-1.60017
-8.330614e-006,-1.60017
-8.330364e-006,-1.60017
-8.330114e-006,-1.6035
-8.329864e-006,-1.60017
-8.329614e-006,-1.60017
-8.329364e-006,-1.60017
-8.329114e-006,-1.6035
-8.328864e-006,-1.60017
-8.328614e-006,-1.6035
-8.328364e-006,-1.60017
-8.328114e-006,-1.6035
-8.327864e-006,-1.6035
-8.327614e-006,-1.6035
-8.327364e-006,-1.60017
-8.327114e-006,-1.6035
-8.326864e-006,-1.6035
-8.326614e-006,-1.6035
-8.326364e-006,-1.6035
-8.326114e-006,-1.6035
-8.325864e-006,-1.6035
-8.325614e-006,-1.6035
-8.325364e-006,-1.60017
-8.325114e-006,-1.6035
-8.324864e-006,-1.6035
-8.324614e-006,-1.6035
-8.324364e-006,-1.60017
-8.324114e-006,-1.6035
-8.323864e-006,-1.6035
-8.323614e-006,-1.6035
-8.323364e-006,-1.60017
-8.323114e-006,-1.6035
-8.322864e-006,-1.6035
-8.322614e-006,-1.6035
-8.322364e-006,-1.60017
-8.322114e-006,-1.6035
-8.321864e-006,-1.6035
-8.321614e-006,-1.6035
